% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: May, 2016
% 
@RELATION SCIAA
@ATTRIBUTE VerticalProjectionVariance  	NUMERIC
@ATTRIBUTE MajorHorizontalProjectionDifference   	NUMERIC
@ATTRIBUTE MajorVerticalEdge  	NUMERIC
@ATTRIBUTE pixelDistribution   NUMERIC
@ATTRIBUTE VerticalEdge   NUMERIC
@ATTRIBUTE Density   NUMERIC
@ATTRIBUTE DeviationWidth   NUMERIC
@ATTRIBUTE DeviationHeight   NUMERIC
@ATTRIBUTE DeviationArea   NUMERIC
@ATTRIBUTE class        {Printed, Handwritten}
@DATA
22642709.62,138720,186.59,1.97,19.43,49.46,341.95,7.01,29631.09,Handwritten
16978640.94,12240,189.53,29.28,40.25,94.25,266.05,0.99,21504.91,Handwritten
13672577.18,12240,203.31,2.01,50.48,121.12,238.05,0.99,19432.91,Handwritten
27496952.21,22440,228.16,36.43,31.16,83.40,202.05,1.01,16320.91,Handwritten
19369910.38,72420,219.49,4.08,39.62,95.05,317.95,4.01,25431.09,Handwritten
15659855.49,15300,198.70,1.94,43.70,113.56,206.05,2.01,16404.91,Handwritten
14969233.44,5100,244.07,21.29,52.39,100.73,334.05,4.99,26904.91,Handwritten
14541332.50,14280,219.49,20.87,37.79,88.04,62.05,4.01,4588.91,Handwritten
14234316.90,17340,225.95,5.62,44.31,109.05,150.05,4.01,11540.91,Handwritten
11351528.14,6120,163.36,18.55,48.34,107.31,366.05,10.99,29504.91,Handwritten
36193336.56,14280,219.04,34.25,34.76,104.79,274.05,3.01,21488.91,Handwritten
26078910.17,132600,219.49,14.28,27.14,69.21,617.95,4.01,49131.09,Handwritten
14992202.57,22440,219.14,4.42,41.79,107.77,258.05,10.99,22592.91,Handwritten
12733754.23,76500,189.53,24.77,33.67,87.39,61.95,0.99,2767.09,Handwritten
20245370.28,17340,167.76,28.33,35.08,103.79,246.05,1.01,19664.91,Handwritten
17699731.53,5100,217.50,4.25,54.56,131.00,366.05,6.99,29264.91,Handwritten
18399936.13,24480,211.38,4.55,37.51,97.76,74.05,1.01,6592.91,Handwritten
13892166.98,7140,177.08,3.63,47.48,109.66,318.05,2.99,25568.91,Handwritten
14182205.84,4080,149.60,21.11,44.75,111.96,370.05,0.01,29144.91,Handwritten
16770743.18,17340,193.67,17.13,41.20,102.57,158.05,4.01,12172.91,Handwritten
28509774.35,16320,226.67,25.75,37.93,143.14,234.05,2.99,19520.91,Handwritten
15208061.69,4080,160.68,11.07,45.88,102.93,366.05,1.99,28964.91,Handwritten
20367108.76,25500,200.36,8.67,38.04,97.37,154.05,9.01,10496.91,Handwritten
25780197.24,161160,227.35,3.48,27.43,73.18,441.95,8.01,38699.09,Handwritten
29189781.97,232560,236.57,4.28,30.52,74.86,1105.95,8.01,93811.09,Handwritten
21591013.77,16320,220.79,15.30,35.88,99.18,198.05,7.01,14648.91,Handwritten
25192799.90,43860,185.94,15.59,25.50,64.38,317.95,21.01,38079.09,Handwritten
23619030.70,338640,205.17,0.51,29.73,71.29,1617.95,12.01,144483.09,Handwritten
12473703.69,16320,149.67,29.82,31.92,72.94,198.05,17.01,12368.91,Handwritten
7870215.03,51000,153.88,10.03,18.66,64.03,397.95,16.99,14447.09,Handwritten
13876015.00,48960,237.41,6.61,37.25,81.04,385.95,16.99,13751.09,Handwritten
529396.58,13260,173.86,0.00,24.70,108.73,258.05,52.99,29648.91,Handwritten
2628858.15,5100,255.00,0.00,81.51,128.51,338.05,51.99,31320.91,Handwritten
18562834.29,13260,185.18,14.88,40.58,99.57,306.05,9.01,23264.91,Handwritten
28200908.41,22440,204.00,11.17,31.85,85.32,89.95,25.01,18255.09,Handwritten
25448745.00,20400,194.29,1.00,38.11,93.54,170.05,9.01,11840.91,Handwritten
19054369.81,25500,196.79,28.03,38.85,85.00,54.05,17.01,879.09,Handwritten
19060944.79,6120,166.18,9.71,43.13,98.44,314.05,14.01,23376.91,Handwritten
18834890.53,7140,175.31,29.04,38.25,79.16,330.05,5.01,25664.91,Handwritten
12700023.31,68340,232.63,5.65,22.94,48.48,237.95,17.99,4503.09,Handwritten
20652792.61,368220,225.00,4.64,30.55,63.01,1585.95,10.01,137675.09,Handwritten
17363633.58,34680,229.13,3.60,39.29,91.01,10.05,5.99,4640.91,Handwritten
14274372.41,10200,232.50,16.67,45.20,91.76,222.05,6.99,19472.91,Handwritten
16243378.36,21420,232.50,0.32,38.49,84.43,162.05,6.99,15392.91,Handwritten
11450665.66,12240,192.17,14.08,43.97,98.78,190.05,5.99,17060.91,Handwritten
12516022.69,11220,213.87,29.84,52.85,113.28,286.05,12.99,24664.91,Handwritten
17040608.04,73440,219.08,5.21,38.42,83.20,133.95,3.99,6415.09,Handwritten
11885344.75,14280,208.31,0.62,46.68,94.87,146.05,3.99,13464.91,Handwritten
18089089.97,20400,239.31,8.72,44.73,103.17,1.95,9.99,5524.91,Handwritten
20580158.21,16320,231.09,0.00,38.32,119.00,246.05,10.99,21824.91,Handwritten
26633918.30,20400,225.43,3.04,44.96,116.01,130.05,5.99,12920.91,Handwritten
13436086.96,53040,215.49,9.07,42.95,96.95,365.95,3.99,22887.09,Handwritten
13813843.93,38760,173.86,39.41,31.73,95.05,290.69,5.78,12864.58,Handwritten
7646607.74,42840,129.20,93.67,30.73,93.85,121.31,3.22,12059.42,Handwritten
12582446.48,6120,165.21,32.67,39.81,101.04,193.31,0.78,18179.42,Handwritten
9859312.38,6120,158.51,41.21,32.74,101.37,153.31,2.22,14679.42,Handwritten
7924836.32,6120,181.59,15.71,37.79,95.63,277.31,5.78,24623.42,Handwritten
7764693.33,9180,174.72,26.47,43.65,121.67,237.31,17.78,23615.42,Handwritten
6168048.83,14280,170.00,37.69,41.05,143.85,217.31,17.78,22535.42,Handwritten
6643901.17,14280,164.52,64.30,38.56,113.29,21.31,9.78,9135.42,Handwritten
18536715.08,44880,199.11,19.90,23.37,70.38,114.69,1.22,4664.58,Handwritten
6479019.38,16320,164.52,26.20,41.56,130.53,221.31,9.78,21535.42,Handwritten
11075393.26,15300,158.41,39.23,34.13,124.94,113.31,5.78,13799.42,Handwritten
3429800.16,9180,189.05,29.44,38.90,121.97,249.31,13.78,23767.42,Handwritten
12672967.16,5100,202.24,66.32,40.28,128.28,305.31,13.78,27015.42,Handwritten
11315099.49,21420,173.86,0.77,32.25,106.21,29.31,5.78,8255.42,Handwritten
12823148.57,17340,173.86,33.26,36.74,107.41,253.31,5.78,23039.42,Handwritten
9223022.24,20400,193.31,14.81,43.01,139.64,209.31,9.78,20791.42,Handwritten
12662605.22,28560,167.67,18.75,35.96,102.49,86.69,1.22,2620.58,Handwritten
8656468.99,39780,198.70,4.39,28.74,86.85,86.69,5.22,4460.58,Handwritten
7830237.45,9180,198.33,6.28,47.41,132.00,201.31,17.78,21671.42,Handwritten
5668652.18,19380,197.42,31.80,38.83,123.00,205.31,9.78,20543.42,Handwritten
5082900.58,15300,153.88,65.61,40.10,120.72,49.31,13.78,12167.42,Handwritten
10348785.79,7140,139.84,46.55,43.44,129.21,277.31,9.78,25007.42,Handwritten
15917424.30,67320,173.54,0.80,30.95,91.02,214.69,0.22,11376.58,Handwritten
7572747.54,17340,191.25,63.54,34.45,99.17,189.31,0.22,17711.42,Handwritten
12632062.68,130560,165.58,12.67,26.95,78.40,734.69,5.22,54356.58,Handwritten
10150853.43,15300,182.14,63.12,36.47,115.60,173.31,8.78,18359.42,Handwritten
9702398.03,36720,176.80,13.49,32.27,63.65,186.69,3.22,11040.58,Handwritten
12650318.18,16320,160.29,9.07,34.43,108.68,229.31,1.78,20879.42,Handwritten
9983302.11,18360,207.40,87.84,36.61,108.96,42.69,3.22,240.58,Handwritten
16757952.49,10200,216.36,6.47,36.28,93.53,181.31,5.78,18287.42,Handwritten
10069807.78,17340,203.31,106.73,36.99,99.03,38.69,2.22,471.42,Handwritten
8362398.74,15300,229.50,2.78,49.26,144.67,177.31,21.78,21159.42,Handwritten
7046643.72,17340,203.14,37.53,41.81,119.80,38.69,12.78,6651.42,Handwritten
13095828.57,5100,193.45,62.07,38.13,134.09,309.31,13.78,27247.42,Handwritten
5637196.09,22440,172.88,3.88,41.92,119.71,22.69,12.78,7595.42,Handwritten
9824564.87,12240,180.26,16.52,36.31,123.64,113.31,13.78,15879.42,Handwritten
12750904.43,7140,224.22,36.32,41.03,117.59,169.31,13.78,19127.42,Handwritten
7628584.27,13260,194.49,53.77,39.74,116.41,133.31,12.78,16799.42,Handwritten
8385128.57,7140,191.25,39.84,46.22,100.94,309.31,11.78,27119.42,Handwritten
15600282.04,43860,171.91,23.19,30.28,79.96,330.69,17.22,31696.58,Handwritten
19797967.57,59160,136.19,35.53,17.61,54.80,82.69,16.22,9168.58,Handwritten
18021395.99,60180,200.36,20.17,16.15,50.43,13.31,1.78,5759.42,Handwritten
61237892.59,169320,115.79,5.31,11.34,41.73,1118.69,124.22,261472.58,Handwritten
19701303.26,65280,166.96,36.45,27.11,84.90,114.69,12.22,10032.58,Handwritten
10689092.45,25500,181.18,75.87,36.04,107.53,134.69,4.22,7648.58,Handwritten
19886029.87,9180,150.38,20.04,34.92,108.42,201.31,6.22,17543.42,Handwritten
9453781.19,68340,160.56,73.15,33.20,86.20,58.69,9.22,4032.58,Handwritten
18250738.98,122400,207.00,18.79,23.16,68.95,1006.69,13.22,86340.58,Handwritten
19530396.76,41820,151.79,6.77,28.61,86.26,106.69,12.22,9360.58,Handwritten
9491742.50,33660,170.00,33.27,31.70,92.44,57.31,0.22,8207.42,Handwritten
8214385.91,29580,167.07,90.43,30.27,91.09,90.69,15.22,9408.58,Handwritten
13452366.86,11220,164.62,50.18,36.61,100.64,94.69,7.22,6012.58,Handwritten
10340075.59,13260,132.22,13.57,30.92,81.13,41.31,9.22,4067.42,Handwritten
11647209.80,49980,167.07,57.84,29.28,77.31,82.69,15.22,8712.58,Handwritten
13142484.23,44880,205.17,39.84,33.15,81.32,554.69,15.22,49776.58,Handwritten
13756847.47,29580,235.97,13.25,43.23,86.04,3.15,11.49,7211.86,Handwritten
15590066.17,47940,255.00,2.36,47.75,104.48,400.85,13.49,18112.14,Handwritten
25070560.84,14280,241.40,27.07,43.01,103.46,219.15,3.49,19667.86,Handwritten
15947478.69,21420,211.29,5.26,42.73,95.99,83.15,8.49,11407.86,Handwritten
12422872.04,16320,242.66,42.07,47.62,102.07,187.15,16.49,20959.86,Handwritten
17605247.15,14280,237.53,6.92,39.01,96.67,139.15,5.49,14331.86,Handwritten
10751515.79,22440,243.23,4.06,49.45,100.40,147.15,13.49,17507.86,Handwritten
7205875.72,65280,141.28,3.29,12.81,26.21,127.15,4.49,13111.86,Handwritten
15397809.25,33660,211.46,7.91,35.99,72.43,576.85,3.51,47368.14,Handwritten
11708502.06,107100,216.36,2.23,16.91,38.86,84.85,12.49,1871.86,Handwritten
16968263.56,49980,197.96,42.80,24.72,66.69,151.15,2.49,14247.86,Handwritten
18106789.69,95880,181.69,23.31,14.78,39.89,18.85,1.51,632.14,Handwritten
23300933.41,26520,214.93,12.63,33.90,68.69,219.15,8.49,20927.86,Handwritten
14217795.99,18360,204.72,24.43,46.24,104.01,179.15,7.49,17835.86,Handwritten
14811794.75,73440,197.20,28.49,35.54,69.75,72.85,3.49,2232.14,Handwritten
8588822.66,25500,196.15,4.50,44.52,87.25,23.15,13.49,9447.86,Handwritten
10694019.27,23460,221.74,20.11,39.76,72.44,20.85,9.49,4619.86,Handwritten
16854322.19,21420,207.61,7.62,23.93,52.85,412.85,34.51,61324.14,Handwritten
23296214.19,16320,193.80,10.81,34.77,69.67,0.85,21.51,8632.14,Handwritten
27945789.16,11220,209.10,25.25,35.58,84.00,267.15,21.51,18167.86,Handwritten
21699392.78,126480,196.56,24.57,27.26,63.31,1456.85,17.51,146520.14,Handwritten
17642371.78,228480,183.00,1.58,28.11,63.94,1168.85,6.51,100832.14,Handwritten
20738694.87,8160,162.83,33.47,33.18,73.58,391.15,4.51,31927.86,Handwritten
1635983.56,18360,255.00,NaN,6.22,145.71,331.15,66.49,36887.86,Handwritten
22753052.63,114240,210.93,16.60,28.25,68.24,136.85,2.51,10680.14,Handwritten
13936524.56,72420,166.96,8.06,34.72,70.78,240.85,5.51,21240.14,Handwritten
23008728.63,17340,193.26,14.41,31.61,68.00,243.15,16.51,16907.86,Handwritten
20168462.93,94860,171.79,10.28,31.16,67.90,124.85,16.51,18052.14,Handwritten
