% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: September, 2016
% 
@RELATION SCIAA
@ATTRIBUTE Area  	NUMERIC
@ATTRIBUTE MajorAxisLength   	NUMERIC
@ATTRIBUTE MinorAxisLength  	NUMERIC
@ATTRIBUTE Eccentricity   NUMERIC
@ATTRIBUTE Orientation   NUMERIC
@ATTRIBUTE ConvexArea   NUMERIC
@ATTRIBUTE FilledArea   NUMERIC
@ATTRIBUTE EquivDiameter   NUMERIC
@ATTRIBUTE Solidity   NUMERIC
@ATTRIBUTE Extent   NUMERIC
@ATTRIBUTE Perimeter   NUMERIC
@ATTRIBUTE class        {'Text', 'Noise'}
@DATA
1064.00,58.9874,39.5262,0.7423,80.2636,1777,1064,0.5257,0.5988,36.8066,204.8820,'Text'
4040.00,165.4879,53.7529,0.9458,-1.8717,6378,4480,0.5934,0.6334,71.7209,596.6010,'Text'
1224.00,50.5952,45.2087,0.4490,85.6623,1649,1224,0.6623,0.7423,39.4771,273.3580,'Text'
2692.00,111.6631,51.8279,0.8858,-2.8180,4077,3036,0.5998,0.6603,58.5454,453.2150,'Text'
1428.00,69.3948,46.0144,0.7485,77.1986,2148,1776,0.5007,0.6648,42.6402,210.2410,'Text'
1120.00,52.6249,48.8729,0.3708,58.4462,1632,1568,0.5797,0.6863,37.7628,150.8290,'Text'
1460.00,66.6020,56.8847,0.5201,85.4630,2354,2228,0.5069,0.6202,43.1153,185.8940,'Text'
1192.00,54.2045,49.1364,0.4222,-59.8159,1877,1192,0.5399,0.6351,38.9577,253.9730,'Text'
904.00,58.1553,36.0658,0.7845,-70.5360,1550,904,0.4892,0.5832,33.9265,191.2860,'Text'
1000.00,59.7941,36.0424,0.7979,-72.7403,1664,1000,0.4941,0.6010,35.6825,197.8690,'Text'
1240.00,51.9275,45.8827,0.4683,-88.3508,1719,1388,0.5860,0.7213,39.7343,222.0010,'Text'
1228.00,48.5563,47.0424,0.2478,-80.2702,1683,1356,0.6067,0.7296,39.5416,214.9880,'Text'
1092.00,75.7334,35.3397,0.8845,-86.9003,2020,1092,0.4194,0.5406,37.2878,237.0690,'Text'
